2026-03-21T17:50:34.109 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T17:50:35.702 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:50:35.702 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-21T17:50:35.702 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:50:35.702 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:50:35.702 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-21T17:50:35.702 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:50:35.703 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:50:35.703 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-21T17:50:35.703 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:52:32.431 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T17:52:42.777 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:52:42.777 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-21T17:52:42.777 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:52:42.778 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:52:42.778 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-21T17:52:42.778 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:52:42.778 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:52:42.778 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-21T17:52:42.778 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:54:32.188 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T17:54:42.238 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:54:42.238 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-21T17:54:42.238 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:54:42.238 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:54:42.238 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-21T17:54:42.238 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:54:42.239 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:54:42.239 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-21T17:54:42.239 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:58:01.483 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T17:58:06.904 | CLIENT | FUNCTION CALL | Packet::serialize()
